type_1,type_2,buy_price,sale_price,product_id
裤子,游泳裤,145,154,S007721
鞋子,凉鞋,98,101,S007156
鞋子,拖鞋,122,149,S002286
鞋子,拖鞋,55,74,S009119
鞋子,凉鞋,79,112,S004373
鞋子,跑鞋,59,88,S004928
鞋子,拖鞋,131,146,S000656
上衣,冲锋衣,100,144,S003098
上衣,T恤,115,157,S006858
裤子,长裤,190,202,S001512
鞋子,凉鞋,137,151,S008100
鞋子,跑鞋,70,80,S009414
上衣,羽绒服,84,101,S006706
鞋子,拖鞋,89,135,S007847
鞋子,拖鞋,92,130,S002775
裤子,中裤,141,155,S003019
鞋子,凉鞋,62,108,S003822
鞋子,凉鞋,167,199,S001635
上衣,羽绒服,141,180,S009979
上衣,冲锋衣,111,148,S002993
上衣,冲锋衣,100,143,S000233
鞋子,拖鞋,123,167,S002189
鞋子,拖鞋,196,228,S003902
上衣,T恤,166,190,S007206
裤子,长裤,138,183,S007567
上衣,羽绒服,175,182,S009624
鞋子,跑鞋,184,231,S006363
上衣,羽绒服,170,197,S003991
裤子,中裤,114,151,S009699
上衣,T恤,110,119,S007152
上衣,冲锋衣,66,76,S004490
上衣,羽绒服,155,164,S007464
上衣,T恤,195,233,S005537
上衣,冲锋衣,131,161,S004979
裤子,游泳裤,94,133,S006869
上衣,冲锋衣,61,61,S005562
上衣,羽绒服,148,196,S008459
裤子,游泳裤,122,164,S000108
上衣,冲锋衣,159,203,S007649
上衣,冲锋衣,199,240,S007392
裤子,长裤,134,182,S008631
裤子,中裤,193,212,S003389
裤子,中裤,105,112,S002716
裤子,中裤,119,143,S004537
裤子,游泳裤,195,204,S008168
裤子,长裤,77,125,S000167
裤子,长裤,69,111,S001666
裤子,游泳裤,139,180,S003725
鞋子,跑鞋,72,101,S008802
上衣,T恤,80,96,S009116
鞋子,拖鞋,155,163,S006479
鞋子,拖鞋,191,239,S001403
裤子,长裤,192,227,S003452
上衣,羽绒服,110,153,S001248
上衣,冲锋衣,73,109,S000863
上衣,T恤,147,179,S004291
上衣,冲锋衣,86,127,S000929
裤子,长裤,119,146,S000815
上衣,冲锋衣,77,93,S004024
上衣,冲锋衣,81,112,S006843
鞋子,拖鞋,167,198,S007848
鞋子,凉鞋,110,156,S008778
裤子,中裤,119,122,S003788
鞋子,拖鞋,179,226,S005923
上衣,T恤,92,126,S000262
上衣,冲锋衣,118,146,S008482
鞋子,凉鞋,176,223,S006590
上衣,冲锋衣,178,179,S005226
裤子,游泳裤,81,89,S004325
上衣,羽绒服,136,136,S005902
裤子,游泳裤,187,215,S003427
鞋子,凉鞋,78,118,S001297
鞋子,凉鞋,154,161,S009538
鞋子,凉鞋,73,77,S003126
上衣,T恤,60,62,S009761
鞋子,凉鞋,121,128,S006860
上衣,冲锋衣,58,68,S005072
裤子,长裤,164,167,S008516
裤子,长裤,193,219,S001805
鞋子,跑鞋,199,215,S006261
上衣,冲锋衣,53,85,S008042
裤子,长裤,55,70,S002588
裤子,中裤,83,84,S004320
鞋子,跑鞋,160,178,S003342
鞋子,拖鞋,171,207,S002197
鞋子,跑鞋,89,111,S007871
上衣,T恤,130,156,S000293
裤子,长裤,117,147,S007422
上衣,T恤,81,127,S005180
鞋子,拖鞋,136,154,S002763
鞋子,凉鞋,98,146,S008392
鞋子,拖鞋,123,128,S006922
鞋子,凉鞋,189,217,S005274
鞋子,凉鞋,73,86,S002842
鞋子,拖鞋,115,145,S003536
鞋子,凉鞋,97,113,S009129
裤子,长裤,152,180,S003024
鞋子,拖鞋,165,169,S006998
鞋子,拖鞋,130,156,S003528
鞋子,凉鞋,102,104,S003874
上衣,冲锋衣,129,147,S008700
上衣,T恤,72,114,S005543
上衣,羽绒服,56,84,S008685
鞋子,跑鞋,124,161,S006626
裤子,长裤,175,190,S005701
上衣,T恤,99,112,S005152
上衣,冲锋衣,74,115,S007844
上衣,羽绒服,76,99,S007442
裤子,中裤,197,205,S001576
上衣,冲锋衣,139,160,S007357
裤子,游泳裤,116,145,S009531
鞋子,凉鞋,84,117,S007781
鞋子,跑鞋,78,101,S002366
上衣,T恤,182,221,S008018
上衣,T恤,103,116,S001257
裤子,中裤,184,193,S006015
上衣,T恤,126,170,S004799
上衣,冲锋衣,54,71,S003920
裤子,长裤,145,155,S009841
鞋子,凉鞋,133,151,S004089
鞋子,跑鞋,113,160,S009827
裤子,游泳裤,164,175,S000041
鞋子,跑鞋,155,168,S002779
裤子,游泳裤,65,66,S003182
鞋子,拖鞋,185,199,S004978
鞋子,拖鞋,118,159,S008376
裤子,长裤,144,160,S003394
鞋子,跑鞋,173,177,S007282
裤子,长裤,149,169,S006970
上衣,冲锋衣,109,116,S005715
上衣,羽绒服,139,159,S005250
裤子,长裤,82,90,S003740
上衣,冲锋衣,154,196,S003037
鞋子,拖鞋,64,70,S009604
鞋子,凉鞋,191,219,S001501
鞋子,跑鞋,198,199,S003211
上衣,羽绒服,83,125,S008795
裤子,中裤,139,183,S006764
上衣,T恤,96,143,S008486
鞋子,跑鞋,142,154,S001571
上衣,T恤,98,118,S003186
鞋子,拖鞋,58,80,S004769
上衣,冲锋衣,105,115,S002248
裤子,中裤,104,123,S009090
鞋子,跑鞋,85,116,S000113
上衣,冲锋衣,181,193,S006315
上衣,羽绒服,66,75,S000007
鞋子,拖鞋,127,128,S004019
上衣,T恤,66,87,S002267
上衣,冲锋衣,101,140,S005480
上衣,T恤,99,118,S004701
鞋子,凉鞋,166,190,S005661
裤子,长裤,180,222,S000523
裤子,中裤,93,137,S001282
鞋子,跑鞋,147,185,S008703
鞋子,跑鞋,78,80,S008112
裤子,长裤,104,117,S003411
裤子,中裤,52,73,S004139
上衣,T恤,195,221,S009385
鞋子,拖鞋,198,200,S007397
上衣,羽绒服,94,105,S001820
裤子,游泳裤,136,148,S009364
裤子,中裤,110,159,S005119
上衣,T恤,190,217,S003458
上衣,T恤,149,154,S005341
鞋子,拖鞋,62,71,S006468
上衣,羽绒服,163,165,S003449
上衣,羽绒服,121,134,S006911
鞋子,拖鞋,91,135,S002515
鞋子,凉鞋,100,127,S004107
上衣,羽绒服,114,161,S009169
裤子,游泳裤,73,96,S001553
鞋子,跑鞋,109,109,S004784
鞋子,拖鞋,156,164,S004660
鞋子,拖鞋,148,181,S003179
鞋子,跑鞋,132,176,S008963
鞋子,拖鞋,68,81,S009852
裤子,中裤,138,149,S009719
上衣,冲锋衣,163,168,S009415
裤子,长裤,76,118,S007666
裤子,长裤,148,194,S000416
鞋子,凉鞋,186,207,S005126
上衣,羽绒服,184,201,S000860
上衣,T恤,132,155,S003525
上衣,T恤,119,127,S008509
裤子,长裤,62,88,S008137
鞋子,跑鞋,77,116,S002470
上衣,羽绒服,153,171,S002824
鞋子,跑鞋,72,81,S000029
裤子,游泳裤,150,160,S008886
鞋子,跑鞋,76,113,S000566
鞋子,跑鞋,70,95,S002243
鞋子,凉鞋,90,131,S007478
鞋子,跑鞋,176,216,S007174
鞋子,拖鞋,112,128,S008612
裤子,游泳裤,176,186,S004881
裤子,中裤,102,142,S002137
鞋子,跑鞋,153,160,S004120
上衣,冲锋衣,70,88,S005651
上衣,T恤,136,159,S009480
裤子,中裤,136,143,S000640
鞋子,拖鞋,86,93,S000372
鞋子,凉鞋,89,112,S002930
上衣,羽绒服,161,186,S002543
上衣,T恤,166,187,S005058
鞋子,跑鞋,96,131,S003124
上衣,T恤,87,91,S002096
鞋子,凉鞋,68,86,S007167
上衣,羽绒服,67,97,S009670
上衣,羽绒服,59,104,S004753
裤子,游泳裤,168,214,S009318
鞋子,跑鞋,64,64,S009394
上衣,冲锋衣,147,174,S007437
上衣,冲锋衣,61,87,S000987
上衣,冲锋衣,108,149,S000045
裤子,长裤,115,124,S004739
上衣,冲锋衣,66,83,S000823
裤子,长裤,125,155,S007312
裤子,中裤,107,124,S006145
上衣,冲锋衣,153,163,S007582
上衣,羽绒服,50,82,S005476
上衣,T恤,71,93,S003832
裤子,游泳裤,52,86,S006215
鞋子,跑鞋,174,178,S006106
裤子,中裤,176,202,S008847
裤子,长裤,137,146,S005629
裤子,长裤,198,228,S002210
裤子,长裤,187,233,S009180
鞋子,拖鞋,129,150,S003445
裤子,中裤,183,207,S000124
上衣,冲锋衣,160,205,S009013
上衣,羽绒服,139,160,S009017
上衣,T恤,93,112,S000981
裤子,中裤,84,122,S008583
鞋子,凉鞋,96,142,S001620
上衣,冲锋衣,167,173,S002659
鞋子,凉鞋,189,222,S001945
鞋子,凉鞋,156,186,S005499
上衣,羽绒服,199,232,S009629
裤子,游泳裤,133,151,S000897
鞋子,凉鞋,146,167,S004773
上衣,冲锋衣,107,141,S009982
鞋子,拖鞋,153,181,S008671
上衣,T恤,58,89,S004188
裤子,长裤,164,171,S005680
裤子,长裤,147,180,S000703
鞋子,跑鞋,124,153,S008838
鞋子,跑鞋,140,141,S001097
上衣,T恤,89,125,S002929
裤子,游泳裤,125,161,S009554
鞋子,跑鞋,149,180,S006079
鞋子,凉鞋,186,225,S008198
裤子,长裤,168,173,S002281
裤子,中裤,154,201,S003542
裤子,长裤,149,154,S001632
上衣,羽绒服,145,178,S005785
鞋子,跑鞋,199,209,S007502
鞋子,凉鞋,96,112,S002641
鞋子,跑鞋,100,107,S005885
鞋子,拖鞋,179,195,S005314
鞋子,凉鞋,175,216,S001563
鞋子,拖鞋,176,197,S006756
裤子,游泳裤,96,111,S009857
上衣,羽绒服,56,103,S004801
鞋子,凉鞋,133,160,S000364
裤子,游泳裤,165,186,S003924
裤子,中裤,108,126,S009222
鞋子,拖鞋,113,139,S009641
裤子,游泳裤,90,95,S000905
裤子,长裤,192,237,S004712
裤子,中裤,194,232,S004078
裤子,游泳裤,181,227,S000513
鞋子,跑鞋,132,178,S005487
裤子,长裤,165,209,S008787
上衣,冲锋衣,122,162,S002918
鞋子,凉鞋,70,111,S006222
鞋子,跑鞋,67,67,S007806
鞋子,跑鞋,72,113,S005647
裤子,长裤,122,129,S009383
鞋子,跑鞋,50,73,S005683
鞋子,凉鞋,142,174,S003616
裤子,长裤,173,189,S007198
上衣,羽绒服,138,148,S008874
上衣,羽绒服,57,65,S009062
鞋子,凉鞋,84,119,S000807
鞋子,拖鞋,167,207,S007399
裤子,中裤,150,174,S002534
鞋子,凉鞋,130,135,S008173
裤子,游泳裤,65,113,S001208
鞋子,跑鞋,80,115,S007394
上衣,冲锋衣,81,123,S002616
鞋子,拖鞋,179,193,S009068
上衣,T恤,183,227,S003335
裤子,长裤,66,110,S001362
鞋子,拖鞋,95,107,S000979
上衣,羽绒服,153,167,S004228
裤子,中裤,111,131,S005670
裤子,中裤,143,177,S007678
上衣,羽绒服,137,168,S009439
上衣,T恤,175,195,S004163
