资源名称	01-煤炭		02-气化天然气		03-油页岩		04-石油		05-液化天然气	
统计类别	消耗量	生产量	消耗量	生产量	消耗量	生产量	消耗量	生产量	消耗量	生产量
单位	万吨	万吨	亿立方米	亿立方米	万吨	万吨	万吨	万吨	万吨	万吨
日期										
2020-01	14.84	13.42	0.1201	0.1221	13.82	14.62	12.86	14.77	10.65	10.46
2020-02	11.83	10.41	0.0934	0.1454	11.6	12.74	12.61	10.56	12.83	10.06
2020-03	14.76	14.26	0.0972	0.1348	14.18	11.05	10.59	13.83	13.81	10.33
2020-04	12.84	14.15	0.0837	0.0848	12.68	10.5	14.16	11.88	14.97	10.15
2020-05	13.01	11.7	0.1336	0.1387	13.48	12.73	13.12	11.68	12.67	12.49
2020-06	10.55	14	0.1475	0.1031	11.9	14.04	10.52	13.92	10.8	14.6
2020-07	10.73	14.95	0.1195	0.1241	12.63	10.96	13.79	14.06	11.32	12.16
2020-08	10.95	11.84	0.0971	0.0625	14.99	11.89	11.78	13.31	12	14.08
2020-09	10.06	13.19	0.1111	0.1282	10.3	12.48	10.16	14.22	10.34	11.77
2020-10	12.39	13.66	0.0625	0.0937	13.03	12.91	12.98	11.78	14.24	10.11
2020-11	14.22	13.63	0.0604	0.1214	10.29	10.5	12.17	11.52	10.45	11.73
2020-12	11.39	11.43	0.1261	0.0646	12.08	10.92	13.67	11.18	11.32	14.33
