ID,Salary
ID-000001,600
ID-000002,400
ID-000003,1300
ID-000004,300
ID-000005,1000
ID-000006,600
ID-000007,700
ID-000008,900
ID-000009,1100
ID-000010,1400
ID-000011,1600
ID-000012,1200
ID-000013,800
ID-000014,1600
ID-000015,1900
ID-000016,1600
ID-000017,1900
ID-000018,500
ID-000019,1200
ID-000020,1300
ID-000021,1600
ID-000022,1700
ID-000023,1900
ID-000024,300
ID-000025,1200
ID-000026,1400
ID-000027,1600
ID-000028,1000
ID-000029,700
ID-000030,1500
ID-000031,1900
ID-000032,300
ID-000033,1300
ID-000034,1100
ID-000035,1300
ID-000036,1400
ID-000037,200
ID-000038,1100
ID-000039,1900
ID-000040,300
ID-000041,1400
ID-000042,200
ID-000043,1500
ID-000044,300
ID-000045,1700
ID-000046,600
ID-000047,1800
ID-000048,800
ID-000049,1700
ID-000050,1600
ID-000051,600
ID-000052,600
ID-000053,1900
ID-000054,300
ID-000055,1200
ID-000056,1000
ID-000057,1100
ID-000058,1900
ID-000059,500
ID-000060,200
ID-000061,1100
ID-000062,300
ID-000063,700
ID-000064,800
ID-000065,200
ID-000066,500
ID-000067,300
ID-000068,800
ID-000069,1000
ID-000070,800
ID-000071,1500
ID-000072,900
ID-000073,900
ID-000074,400
ID-000075,300
ID-000076,600
ID-000077,400
ID-000078,1700
ID-000079,300
ID-000080,1200
ID-000081,1700
ID-000082,200
ID-000083,1900
ID-000084,700
ID-000085,1900
ID-000086,500
ID-000087,900
ID-000088,400
ID-000089,1800
ID-000090,1200
ID-000091,400
ID-000092,600
ID-000093,200
ID-000094,800
ID-000095,1600
ID-000096,1200
ID-000097,1100
ID-000098,1500
ID-000099,1800
ID-000100,1400
ID-000101,1100
ID-000102,200
ID-000103,1400
ID-000104,1300
ID-000105,1600
ID-000106,1300
ID-000107,1300
ID-000108,1800
ID-000109,1600
ID-000110,600
ID-000111,1200
ID-000112,900
ID-000113,600
ID-000114,600
ID-000115,1600
ID-000116,1500
ID-000117,1300
ID-000118,500
ID-000119,1700
ID-000120,1600
ID-000121,1600
ID-000122,200
ID-000123,1700
ID-000124,1200
ID-000125,1800
ID-000126,1900
ID-000127,600
ID-000128,900
ID-000129,300
ID-000130,700
ID-000131,500
ID-000132,1700
ID-000133,1100
ID-000134,1100
ID-000135,500
ID-000136,500
ID-000137,1000
ID-000138,600
ID-000139,500
ID-000140,1400
ID-000141,400
ID-000142,1800
ID-000143,500
ID-000144,1800
ID-000145,400
ID-000146,1400
ID-000147,1500
ID-000148,1500
ID-000149,300
ID-000150,600
ID-000151,500
ID-000152,1700
ID-000153,400
ID-000154,1200
ID-000155,1400
ID-000156,1900
ID-000157,800
ID-000158,1800
ID-000159,500
ID-000160,1300
ID-000161,1900
ID-000162,1100
ID-000163,800
ID-000164,1300
ID-000165,1400
ID-000166,900
ID-000167,300
ID-000168,1500
ID-000169,1300
ID-000170,500
ID-000171,200
ID-000172,1100
ID-000173,1900
ID-000174,400
ID-000175,300
ID-000176,1700
ID-000177,1400
ID-000178,1100
ID-000179,700
ID-000180,1900
ID-000181,1800
ID-000182,500
ID-000183,900
ID-000184,1600
ID-000185,1200
ID-000186,1800
ID-000187,600
ID-000188,1100
ID-000189,400
ID-000190,500
ID-000191,1400
ID-000192,1000
ID-000193,1900
ID-000194,500
ID-000195,1100
ID-000196,800
ID-000197,700
ID-000198,500
ID-000199,1100
ID-000200,1800
ID-000201,1700
ID-000202,1700
ID-000203,1200
ID-000204,1800
ID-000205,1900
ID-000206,1300
ID-000207,500
ID-000208,1200
ID-000209,500
ID-000210,1600
ID-000211,600
ID-000212,1900
ID-000213,1400
ID-000214,500
ID-000215,800
ID-000216,300
ID-000217,1700
ID-000218,1100
ID-000219,1600
ID-000220,400
ID-000221,900
ID-000222,1300
ID-000223,1600
ID-000224,200
ID-000225,1700
ID-000226,1700
ID-000227,1900
ID-000228,1100
ID-000229,900
ID-000230,1100
ID-000231,900
ID-000232,1400
ID-000233,500
ID-000234,1600
ID-000235,400
ID-000236,1700
ID-000237,1800
ID-000238,700
ID-000239,500
ID-000240,1500
ID-000241,800
ID-000242,1100
ID-000243,1100
ID-000244,1400
ID-000245,1100
ID-000246,800
ID-000247,1100
ID-000248,1400
ID-000249,800
ID-000250,600
ID-000251,700
ID-000252,800
ID-000253,200
ID-000254,1900
ID-000255,200
ID-000256,600
ID-000257,300
ID-000258,1700
ID-000259,700
ID-000260,800
ID-000261,1100
ID-000262,1700
ID-000263,300
ID-000264,800
ID-000265,300
ID-000266,1600
ID-000267,1400
ID-000268,1400
ID-000269,1200
ID-000270,1500
ID-000271,900
ID-000272,1900
ID-000273,500
ID-000274,1500
ID-000275,400
ID-000276,900
ID-000277,1300
ID-000278,1600
ID-000279,900
ID-000280,1500
ID-000281,1700
ID-000282,200
ID-000283,800
ID-000284,1900
ID-000285,1000
ID-000286,1400
ID-000287,200
ID-000288,300
ID-000289,1500
ID-000290,1400
ID-000291,900
ID-000292,500
ID-000293,1200
ID-000294,1700
ID-000295,600
ID-000296,1500
ID-000297,600
ID-000298,1400
ID-000299,1300
ID-000300,1400
ID-000301,700
ID-000302,1000
