ID,性别,年龄
ID-008929,女,26
ID-010377,女,38
ID-022227,男,31
ID-006138,女,35
ID-011197,女,45
ID-014593,女,46
ID-014319,女,31
ID-025209,女,26
ID-011811,女,37
ID-022205,女,55
ID-007206,女,34
ID-027263,男,31
ID-027994,男,30
ID-000094,男,50
ID-023198,女,51
ID-010254,女,44
ID-016276,男,45
ID-020037,男,30
ID-002967,女,50
ID-022575,男,27
ID-002722,女,37
ID-020354,女,33
ID-001849,男,25
ID-001472,女,54
ID-016031,男,34
ID-019502,女,55
ID-021534,女,44
ID-018055,男,33
ID-006912,女,40
ID-012898,男,29
ID-005884,女,36
ID-011347,男,43
ID-028781,女,30
ID-021445,女,39
ID-017831,女,31
ID-012245,男,54
ID-024901,女,35
ID-018639,女,31
ID-019671,女,52
ID-000275,男,32
ID-002428,女,44
ID-025683,男,39
ID-002916,女,30
ID-027614,男,50
ID-018979,女,49
ID-005112,女,37
ID-028958,女,25
ID-021079,男,25
ID-025989,女,46
ID-018759,男,49
ID-020851,男,40
ID-006188,男,55
ID-012343,男,39
ID-009262,男,40
ID-000259,男,42
ID-013724,女,40
ID-025717,女,42
ID-021601,男,51
ID-007235,男,42
ID-016112,女,53
ID-016981,男,29
ID-012401,男,24
ID-029756,女,54
ID-018043,女,23
ID-001565,女,45
ID-012497,男,53
ID-011872,女,36
ID-022761,女,48
ID-008601,女,34
ID-027499,女,30
ID-029871,女,55
ID-016850,男,51
ID-028671,女,25
ID-004355,男,35
ID-022980,女,23
ID-001055,女,39
ID-008594,男,41
ID-012621,女,49
ID-012705,女,48
ID-018123,女,24
ID-005430,女,55
ID-029264,男,54
ID-003214,女,24
ID-005891,男,55
ID-010734,男,36
ID-017656,女,53
ID-006516,男,24
ID-020630,男,51
ID-018271,女,34
ID-001350,男,47
ID-018140,女,40
ID-029308,女,30
ID-018452,女,49
ID-012992,女,52
ID-024896,男,50
ID-011634,女,47
ID-026586,男,55
ID-004410,男,50
ID-003278,女,48
ID-002550,女,29
ID-001469,男,26
ID-024654,女,26
ID-007663,男,49
ID-010773,女,39
ID-003147,男,49
ID-027189,女,33
ID-015321,女,38
ID-028337,男,39
ID-018775,男,46
ID-012371,女,53
ID-004888,女,43
ID-012666,女,27
ID-006590,男,49
ID-026370,女,49
ID-016408,女,40
ID-005247,女,50
ID-018621,男,26
ID-017431,男,29
ID-005114,男,51
ID-004556,男,51
ID-018455,男,55
ID-003939,男,33
ID-000156,男,47
ID-027354,男,29
ID-002166,男,53
ID-023964,女,47
ID-009859,男,24
ID-009312,女,48
ID-010759,女,36
ID-016982,女,48
ID-004065,男,48
ID-011749,女,32
ID-021062,女,44
ID-004155,男,46
ID-018152,男,45
ID-014596,男,37
ID-013852,男,38
ID-002935,女,30
ID-025603,女,23
ID-028876,男,40
ID-015737,男,46
ID-011106,女,51
ID-009924,男,27
ID-000212,女,47
ID-025181,男,52
ID-009615,女,26
ID-007511,男,45
ID-021440,女,54
ID-023210,男,25
ID-005995,女,31
ID-019778,女,31
ID-011252,女,47
ID-014555,女,55
ID-004387,女,44
ID-015922,男,26
ID-018281,男,54
ID-023415,男,53
ID-010578,男,45
ID-025908,男,25
ID-014916,女,34
ID-008202,女,40
ID-001029,男,50
ID-011728,男,53
ID-028640,男,48
ID-004075,女,51
ID-011627,女,47
ID-029936,女,40
ID-023152,男,29
ID-009905,女,38
ID-029992,女,45
ID-006653,女,36
ID-014226,女,39
ID-020292,女,24
ID-026440,女,48
ID-014112,男,29
ID-017056,女,50
ID-016402,男,34
ID-005501,女,34
ID-021957,女,48
ID-006755,女,47
ID-027460,女,27
ID-005521,男,44
ID-026811,男,42
ID-022920,女,30
ID-025194,女,45
ID-004010,男,42
ID-015255,女,39
ID-011360,男,40
ID-017729,女,41
ID-028424,女,41
ID-028077,男,23
ID-007987,女,41
ID-025125,男,48
ID-008559,男,34
ID-021083,女,53
ID-016369,女,31
ID-017562,女,40
ID-026489,男,40
ID-011828,男,25
ID-022550,女,38
ID-017076,男,26
ID-002939,男,37
ID-017779,男,43
ID-002711,女,39
ID-000651,男,49
ID-023181,男,30
ID-027667,男,24
ID-019055,男,44
ID-009325,女,42
ID-000895,女,54
ID-025195,男,28
ID-009485,男,47
ID-013210,男,45
ID-014911,女,26
ID-010100,男,24
ID-028219,男,26
ID-019844,男,49
ID-006307,女,52
ID-010748,男,39
ID-029316,男,29
ID-007804,女,38
ID-026637,男,27
ID-009838,女,54
ID-015543,男,31
ID-016616,男,27
ID-005920,女,49
ID-013660,女,34
ID-022772,男,54
ID-003586,女,30
ID-016831,男,32
ID-004591,男,32
ID-004943,女,44
ID-028031,男,37
ID-029675,男,45
ID-014164,男,40
ID-007972,男,30
ID-011113,男,33
ID-022581,女,30
ID-009283,男,48
ID-004001,男,42
ID-016010,女,54
ID-026289,女,51
ID-007763,女,48
ID-005084,男,53
ID-008527,男,49
ID-025868,女,39
ID-024215,女,48
ID-007246,女,52
ID-015896,女,26
ID-017233,男,30
ID-015465,女,52
ID-010909,男,45
ID-011773,女,36
ID-024059,女,30
ID-018773,女,40
ID-010109,男,55
ID-008911,女,51
ID-016793,女,38
ID-010655,男,49
ID-028886,男,38
ID-001916,女,41
ID-001917,男,23
ID-009137,女,38
ID-003898,男,49
ID-012154,女,38
ID-001410,男,36
ID-011686,男,47
ID-022742,男,40
ID-024469,男,34
ID-025959,男,26
ID-010902,女,54
ID-003038,男,33
ID-007261,女,45
ID-003750,女,38
ID-024788,女,26
ID-011446,女,53
ID-002398,女,44
ID-025339,男,38
ID-014499,男,29
ID-013833,男,34
ID-000761,男,29
ID-011817,女,42
ID-003411,女,40
ID-024886,女,23
ID-009992,男,46
ID-025748,男,27
ID-022959,男,39
ID-020267,女,28
ID-026415,女,53
ID-024946,男,41
ID-023126,女,28
ID-003052,女,42
ID-017904,女,24
ID-014746,男,31
ID-023055,男,26
ID-012808,男,53
ID-023846,男,36
ID-007545,女,49
ID-016387,女,27
ID-026176,男,34
ID-027521,男,36
ID-014609,男,34
ID-025088,男,34
ID-016561,女,40
ID-019446,女,48
ID-024066,男,36
ID-010848,女,45
ID-010522,女,26
ID-009716,男,41
ID-004985,男,29
ID-009234,女,44
ID-027602,男,41
ID-024526,女,46
ID-005942,男,43
ID-006928,男,53
ID-007370,男,54
ID-009331,男,52
ID-021100,女,30
ID-016071,男,42
ID-012207,男,46
ID-016435,男,46
ID-005597,女,43
ID-010756,男,28
ID-006117,女,23
ID-002514,男,43
ID-004005,女,46
ID-008580,女,30
ID-002798,男,45
ID-010760,女,45
ID-011085,女,42
ID-016907,男,48
ID-016931,女,25
ID-019099,女,26
ID-027983,女,38
ID-003915,男,25
ID-020757,女,49
ID-009486,女,55
ID-003818,女,33
ID-013372,女,55
ID-026009,女,34
ID-008439,女,25
ID-029814,男,48
ID-017801,女,31
ID-014261,男,26
ID-024290,女,37
ID-000253,男,38
