ID,Salary
ID-000001,11300
ID-000002,3500
ID-000003,18700
ID-000004,17300
ID-000005,3900
ID-000006,14200
ID-000007,2600
ID-000008,14800
ID-000009,16600
ID-000010,16600
ID-000011,7000
ID-000012,14400
ID-000013,11800
ID-000014,10900
ID-000015,10800
ID-000016,18000
ID-000017,13000
ID-000018,10800
ID-000019,14200
ID-000020,7900
ID-000021,3400
ID-000022,2200
ID-000023,9200
ID-000024,11100
ID-000025,14900
ID-000026,10900
ID-000027,9300
ID-000028,18100
ID-000029,13800
ID-000030,11200
ID-000031,10000
ID-000032,2900
ID-000033,17500
ID-000034,11300
ID-000035,3900
ID-000036,17000
ID-000037,18700
ID-000038,8900
ID-000039,10400
ID-000040,3600
ID-000041,15100
ID-000042,17200
ID-000043,12900
ID-000044,17800
ID-000045,3400
ID-000046,16900
ID-000047,13300
ID-000048,11200
ID-000049,18400
ID-000050,5500
ID-000051,17000
ID-000052,5200
ID-000053,13800
ID-000054,4000
ID-000055,4600
ID-000056,16100
ID-000057,10700
ID-000058,17000
ID-000059,3600
ID-000060,2600
ID-000061,9100
ID-000062,3000
ID-000063,18600
ID-000064,17300
ID-000065,2000
ID-000066,7000
ID-000067,3800
ID-000068,2500
ID-000069,18400
ID-000070,9600
ID-000071,18900
ID-000072,6500
ID-000073,2600
ID-000074,3500
ID-000075,16400
ID-000076,4100
ID-000077,16700
ID-000078,15600
ID-000079,4100
ID-000080,10200
ID-000081,15200
ID-000082,16000
ID-000083,9400
ID-000084,17100
ID-000085,12100
ID-000086,11900
ID-000087,11400
ID-000088,14400
ID-000089,15500
ID-000090,4800
ID-000091,15800
ID-000092,3900
ID-000093,7900
ID-000094,16100
ID-000095,14500
ID-000096,13300
ID-000097,12700
ID-000098,8000
ID-000099,13500
ID-000100,6500
ID-000101,13500
ID-000102,8900
ID-000103,13900
ID-000104,15600
ID-000105,15800
ID-000106,16200
ID-000107,19400
ID-000108,10800
ID-000109,15600
ID-000110,14400
ID-000111,2700
ID-000112,7000
ID-000113,8200
ID-000114,9000
ID-000115,12700
ID-000116,12200
ID-000117,18400
ID-000118,3700
ID-000119,15800
ID-000120,15100
ID-000121,16900
ID-000122,14000
ID-000123,16000
ID-000124,2700
ID-000125,14000
ID-000126,17500
ID-000127,19100
ID-000128,16200
ID-000129,11800
ID-000130,5100
ID-000131,16000
ID-000132,6800
ID-000133,7000
ID-000134,12500
ID-000135,13800
ID-000136,2000
ID-000137,17800
ID-000138,11400
ID-000139,11500
ID-000140,3800
ID-000141,2700
ID-000142,19500
ID-000143,15700
ID-000144,10700
ID-000145,2100
ID-000146,10600
ID-000147,9700
ID-000148,16900
ID-000149,6400
ID-000150,17600
ID-000151,10500
ID-000152,14000
ID-000153,16900
ID-000154,14800
ID-000155,12600
ID-000156,7900
ID-000157,16900
ID-000158,18300
ID-000159,16400
ID-000160,4300
ID-000161,11300
ID-000162,4500
ID-000163,4200
ID-000164,6900
ID-000165,4500
ID-000166,5500
ID-000167,18900
ID-000168,4100
ID-000169,9200
ID-000170,4100
ID-000171,17900
ID-000172,2500
ID-000173,13600
ID-000174,4600
ID-000175,2400
ID-000176,10600
ID-000177,7400
ID-000178,15200
ID-000179,9400
ID-000180,3200
ID-000181,16000
ID-000182,3500
ID-000183,17900
ID-000184,16400
ID-000185,16100
ID-000186,17300
ID-000187,12100
ID-000188,16400
ID-000189,10400
ID-000190,18000
ID-000191,11300
ID-000192,19000
ID-000193,12700
ID-000194,3200
ID-000195,8100
ID-000196,7900
ID-000197,18400
ID-000198,3500
ID-000199,18400
ID-000200,6100
ID-000201,3200
ID-000202,16200
ID-000203,6200
ID-000204,17700
ID-000205,16700
ID-000206,6800
ID-000207,4500
ID-000208,19600
ID-000209,15900
ID-000210,14000
ID-000211,15600
ID-000212,9500
ID-000213,6500
ID-000214,7400
ID-000215,9500
ID-000216,16100
ID-000217,5800
ID-000218,10200
ID-000219,18700
ID-000220,9400
ID-000221,11000
ID-000222,17800
ID-000223,19300
ID-000224,11000
ID-000225,16100
ID-000226,10400
ID-000227,11800
ID-000228,3800
ID-000229,17800
ID-000230,13700
ID-000231,2700
ID-000232,13500
ID-000233,13600
ID-000234,9500
ID-000235,13800
ID-000236,12100
ID-000237,5100
ID-000238,11300
ID-000239,16500
ID-000240,6200
ID-000241,17300
ID-000242,5300
ID-000243,6100
ID-000244,8500
ID-000245,4300
ID-000246,13200
ID-000247,11800
ID-000248,18800
ID-000249,10300
ID-000250,16600
ID-000251,12200
ID-000252,18400
ID-000253,2300
ID-000254,5200
ID-000255,11800
ID-000256,5500
ID-000257,2500
ID-000258,18800
ID-000259,13600
ID-000260,5400
ID-000261,12300
ID-000262,15100
ID-000263,16300
ID-000264,17800
ID-000265,2500
ID-000266,6500
ID-000267,15800
ID-000268,11400
ID-000269,2400
ID-000270,14200
ID-000271,16000
ID-000272,5300
ID-000273,8400
ID-000274,17300
ID-000275,19500
ID-000276,18100
ID-000277,9900
ID-000278,14700
ID-000279,3700
ID-000280,18800
ID-000281,7300
ID-000282,15200
ID-000283,18000
ID-000284,18300
ID-000285,12800
ID-000286,3600
ID-000287,15500
ID-000288,15500
ID-000289,5000
ID-000290,19200
ID-000291,6000
ID-000292,5800
ID-000293,8500
ID-000294,6800
ID-000295,7300
ID-000296,8700
ID-000297,6900
ID-000298,12300
ID-000299,6400
ID-000300,4100
ID-000301,18700
ID-000302,2200
ID-000303,9400
ID-000304,6700
ID-000305,8000
ID-000306,19600
ID-000307,17300
ID-000308,9000
ID-000309,18500
ID-000310,2900
ID-000311,17400
ID-000312,3200
ID-000313,12700
ID-000314,18400
ID-000315,17600
ID-000316,6600
ID-000317,15300
ID-000318,14500
ID-000319,15500
ID-000320,13300
ID-000321,18100
ID-000322,3400
ID-000323,13100
ID-000324,6700
ID-000325,3400
ID-000326,8900
ID-000327,7100
ID-000328,10000
ID-000329,12500
ID-000330,11000
ID-000331,14900
ID-000332,4000
ID-000333,12800
ID-000334,4300
ID-000335,10200
ID-000336,11600
ID-000337,14400
ID-000338,4500
ID-000339,18100
ID-000340,8100
ID-000341,4100
ID-000342,14400
ID-000343,7200
ID-000344,15700
ID-000345,11000
ID-000346,18900
ID-000347,5800
ID-000348,12400
ID-000349,16400
ID-000350,12900
ID-000351,11400
ID-000352,2300
ID-000353,15500
ID-000354,7300
ID-000355,10000
ID-000356,2100
ID-000357,15200
ID-000358,17100
ID-000359,10000
ID-000360,15300
ID-000361,14400
ID-000362,3300
ID-000363,2300
ID-000364,12100
ID-000365,11600
ID-000366,19500
ID-000367,11900
ID-000368,18700
ID-000369,10600
ID-000370,10600
ID-000371,17100
ID-000372,19100
ID-000373,6600
ID-000374,12800
ID-000375,10500
ID-000376,15200
ID-000377,16100
ID-000378,7600
ID-000379,15000
ID-000380,7700
ID-000381,15800
ID-000382,2600
ID-000383,7800
ID-000384,8500
ID-000385,11700
ID-000386,17500
ID-000387,8900
ID-000388,11700
ID-000389,13600
ID-000390,7400
ID-000391,4300
ID-000392,15400
ID-000393,7100
ID-000394,14100
ID-000395,14100
ID-000396,13000
ID-000397,6400
ID-000398,12800
ID-000399,12500
ID-000400,19400
ID-000401,6000
ID-000402,4900
ID-000403,2100
ID-000404,17700
ID-000405,8900
ID-000406,19800
ID-000407,19700
ID-000408,4400
ID-000409,9600
ID-000410,11600
ID-000411,9500
