floor,year,area,price
高层（共6层）,1986年建,58.23㎡,155万
中层（共20层）,2020年建,88㎡,155万
低层（共28层）,2010年建,89.33㎡,365万
低层（共20层）,2014年建,82㎡,308万
高层（共1层）,2015年建,98㎡,117万
中层（共21层）,2020年建,71㎡,150万
低层（共14层）,2009年建,158㎡,420万
中层（共6层）,2015年建,73㎡,35万
高层（共1层）,2015年建,96㎡,89万
低层（共33层）,2013年建,145㎡,122万
中层（共6层）,2010年建,90.46㎡,339万
中层（共9层）,2015年建,103.81㎡,395万
低层（共6层）,1993年建,60.3㎡,620万
低层（共9层）,2015年建,113.5㎡,120万
高层（共6层）,1998年建,65㎡,33.8万
低层（共13层）,2009年建,133.24㎡,365万
中层（共15层）,2018年建,88.96㎡,245万
低层（共6层）,,143㎡,96万
高层（共34层）,2019年建,89㎡,65万
高层（共13层）,2020年建,65㎡,127万
高层（共13层）,2020年建,65㎡,127万
高层（共18层）,2012年建,87㎡,185万
高层（共11层）,,78㎡,21万
中层（共33层）,2020年建,91.35㎡,84万
中层（共11层）,2018年建,79㎡,22万
中层（共19层）,2000年建,141.16㎡,1280万
高层（共14层）,2018年建,36㎡,136万
中层（共11层）,,91.65㎡,39万
高层（共34层）,2018年建,134㎡,108万
高层（共6层）,1998年建,59.5㎡,33万
高层（共6层）,,94㎡,70万
高层（共26层）,2018年建,106㎡,67万
低层（共15层）,2018年建,43㎡,114万
低层（共18层）,2002年建,145.13㎡,1370万
低层（共4层）,,57㎡,29万
低层（共18层）,,110.71㎡,78万
高层（共9层）,,74㎡,65万
低层（共6层）,2020年建,135.06㎡,142.8万
低层（共18层）,2014年建,95.47㎡,80万
高层（共6层）,2006年建,105㎡,77万
高层（共5层）,,104㎡,93万
低层（共25层）,,115㎡,55万
低层（共5层）,,120㎡,70万
低层（共18层）,,105㎡,65万
低层（共25层）,,88㎡,51.5万
低层（共12层）,2012年建,105㎡,39万
高层（共6层）,,86㎡,23万
中层（共15层）,2019年建,62㎡,74万
高层（共12层）,2016年建,65㎡,136万
低层（共23层）,2013年建,83.09㎡,615万
高层（共3层）,,248㎡,208万
低层（共5层）,,101㎡,125万
高层（共34层）,2016年建,149.5㎡,198万
低层（共6层）,1997年建,89㎡,66万
高层（共6层）,,70㎡,36万
中层（共2层）,,200㎡,25万
高层（共7层）,,126㎡,60万
高层（共6层）,2000年建,68㎡,83.5万
高层（共6层）,,190㎡,80万
高层（共34层）,,118㎡,60万
高层（共2层）,,130.95㎡,58.5万
高层（共6层）,,89.77㎡,31万
高层（共7层）,,100㎡,65万
高层（共4层）,,45.62㎡,16万
高层（共23层）,2007年建,163㎡,1280万
,,560.9㎡,1849万
低层（共22层）,2003年建,288㎡,1799万
低层（共4层）,,57㎡,29万
中层（共5层）,,160㎡,138万
中层（共5层）,,67㎡,58万
中层（共11层）,2017年建,79㎡,20万
中层（共6层）,,95.6㎡,59.6万
中层（共6层）,1997年建,91.5㎡,72万
中层（共33层）,,107㎡,42万
低层（共28层）,,89.97㎡,46万
高层（共6层）,2000年建,79㎡,60.8万
低层（共6层）,2010年建,119㎡,77.8万
高层（共32层）,2016年建,79㎡,114.8万
